ts_iso,day,event,session_id,profile,strategy_ver,symbol,side,reason,order_id,client_id,position_id,price,qty,notional,mark,entry,exit,upnl,roe,realized,fee,fee_cum,funding_cum,wallet,equity,avail,leverage,margin,sl,tp,liq,score_total,score.rsi,score.adx,score.atr,score.ema,score.ichimoku,score.kama,score.vwap,score.cci,score.obv,score.corr,score.mtf,ind.rsi,ind.adx,ind.atr,ind.ema50,ind.ema200,ind.kijun,ind.tenkan,ind.senkouA,ind.senkouB,ind.kama,ind.vwap,ind.cci,ind.obv,mtf.h1.boost,mtf.h4.boost,mtf.d1.boost,trend_state,risk.tier,risk.leverage,risk.max_loss,risk.daily_cut,risk.bracket_r,risk.size_pct,route.slippage,route.post_only,route.reduce_only,route.type,data_feed,trade_mode,divergence_bps,analysis.tfs,analysis.confidence,rule.entry_th,rule.exit_th,rule.cooldown_left,rule.allowed,plan.lev,plan.size_pct,plan.sl,plan.tp,elapsed_sec
2025-08-27T10:47:39+00:00,2025-08-27,TRADE_INTENT_NEW,S20250827-26256,,,ETHUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-27T10:47:39+00:00,2025-08-27,ANALYSIS_SNAPSHOT,S20250827-26256,,,ETHUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live,testnet,0.0,"['1m', '5m', '1h']",0.0,,,,,,,,,
2025-08-27T10:47:55+00:00,2025-08-27,TRADE_INTENT_CANCELLED,S20250827-26256,,,BTCUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-27T10:47:55+00:00,2025-08-27,TRADE_INTENT_CANCELLED,S20250827-26256,,,ETHUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-27T10:48:09+00:00,2025-08-27,TRADE_INTENT_NEW,S20250827-26256,,,BTCUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-27T10:48:09+00:00,2025-08-27,ANALYSIS_SNAPSHOT,S20250827-26256,,,BTCUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live,testnet,0.0,"['1m', '5m', '1h']",0.0,,,,,,,,,
2025-08-27T10:48:09+00:00,2025-08-27,TRADE_INTENT_NEW,S20250827-26256,,,ETHUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-27T10:48:09+00:00,2025-08-27,ANALYSIS_SNAPSHOT,S20250827-26256,,,ETHUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live,testnet,0.0,"['1m', '5m', '1h']",0.0,,,,,,,,,
2025-08-27T10:48:25+00:00,2025-08-27,TRADE_INTENT_CANCELLED,S20250827-26256,,,BTCUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-27T10:48:25+00:00,2025-08-27,TRADE_INTENT_CANCELLED,S20250827-26256,,,ETHUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-27T10:48:39+00:00,2025-08-27,TRADE_INTENT_NEW,S20250827-26256,,,BTCUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-27T10:48:39+00:00,2025-08-27,ANALYSIS_SNAPSHOT,S20250827-26256,,,BTCUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live,testnet,0.0,"['1m', '5m', '1h']",0.0,,,,,,,,,
2025-08-27T10:48:39+00:00,2025-08-27,TRADE_INTENT_NEW,S20250827-26256,,,ETHUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-27T10:48:39+00:00,2025-08-27,ANALYSIS_SNAPSHOT,S20250827-26256,,,ETHUSDT,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,live,testnet,0.4371010594282892,"['1m', '5m', '1h']",0.0,,,,,,,,,
